R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Frank Mir;Roberto Traven;0;0;3 of 7;1 of 2;42%;50%;6 of 11;1 of 2;0 of 0;0 of 0;---;---;1;0;0;0;0:37;0:00;1 of 5;1 of 2;0 of 0;0 of 0;2 of 2;0 of 0;3 of 7;1 of 2;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:05;3 Rnd (5-5-5);Larry Landless;November 02, 2001;Las Vegas, Nevada, USA;Heavyweight Bout;Frank Mir
Ricardo Almeida;Eugene Jackson;0;0;4 of 4;1 of 4;100%;25%;16 of 17;18 of 23;1 of 1;2 of 2;100%;100%;1;2;0;0;3:07;0:38;0 of 0;1 of 4;2 of 2;0 of 0;2 of 2;0 of 0;4 of 4;1 of 3;0 of 0;0 of 0;0 of 0;0 of 1;Submission;1;4:06;3 Rnd (5-5-5);Mason White;September 28, 2001;Las Vegas, Nevada, USA;Middleweight Bout;Ricardo Almeida
Dave Menne;Gil Castillo;0;0;70 of 125;9 of 25;56%;36%;180 of 241;110 of 126;1 of 1;7 of 19;100%;36%;4;0;2;0;7:55;11:36;38 of 86;5 of 20;16 of 18;3 of 4;16 of 21;1 of 1;24 of 59;7 of 23;30 of 42;2 of 2;16 of 24;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;September 28, 2001;Las Vegas, Nevada, USA;UFC Middleweight Title Bout;Dave Menne
Chuck Liddell;Murilo Bustamante;1;0;27 of 78;15 of 30;34%;50%;27 of 78;15 of 30;0 of 0;2 of 20;---;10%;0;0;0;0;1:48;0:53;15 of 63;13 of 28;1 of 3;1 of 1;11 of 12;1 of 1;16 of 65;13 of 24;2 of 2;1 of 3;9 of 11;1 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;September 28, 2001;Las Vegas, Nevada, USA;Light Heavyweight Bout;Chuck Liddell
Tito Ortiz;Vladimir Matyushenko;0;0;64 of 84;19 of 49;76%;38%;248 of 269;103 of 138;5 of 9;1 of 6;55%;16%;0;0;0;0;21:34;1:10;17 of 37;9 of 38;8 of 8;3 of 4;39 of 39;7 of 7;5 of 15;8 of 36;47 of 49;11 of 13;12 of 20;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;September 28, 2001;Las Vegas, Nevada, USA;UFC Light Heavyweight Title Bout;Tito Ortiz
Matt Serra;Yves Edwards;0;0;9 of 17;9 of 14;52%;64%;20 of 31;27 of 33;3 of 12;0 of 0;25%;---;3;0;1;2;8:29;2:03;3 of 10;4 of 9;4 of 5;4 of 4;2 of 2;1 of 1;3 of 7;2 of 7;0 of 0;6 of 6;6 of 10;1 of 1;Decision - Majority;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;September 28, 2001;Las Vegas, Nevada, USA;Welterweight Bout;Matt Serra
Jens Pulver;Dennis Hallman;0;0;27 of 60;15 of 48;45%;31%;100 of 136;56 of 91;0 of 0;2 of 12;---;16%;1;3;0;0;16:01;1:52;18 of 49;4 of 34;7 of 9;4 of 6;2 of 2;7 of 8;9 of 35;13 of 42;3 of 3;0 of 3;15 of 22;2 of 3;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Mario Yamasaki;September 28, 2001;Las Vegas, Nevada, USA;UFC Lightweight Title Bout;Jens Pulver
Jutaro Nakao;Tony DeSouza;1;0;8 of 8;1 of 5;100%;20%;16 of 16;45 of 49;0 of 1;0 of 0;0%;---;0;0;0;0;4:12;0:00;3 of 3;0 of 3;0 of 0;0 of 1;5 of 5;1 of 1;6 of 6;0 of 3;0 of 0;1 of 2;2 of 2;0 of 0;KO/TKO;2;0:15;3 Rnd (5-5-5);Mason White;September 28, 2001;Las Vegas, Nevada, USA;Welterweight Bout;Jutaro Nakao
Din Thomas;Fabiano Iha;0;0;42 of 69;19 of 45;60%;42%;98 of 128;46 of 78;1 of 1;2 of 7;100%;28%;0;2;0;0;6:09;5:43;41 of 68;12 of 36;1 of 1;1 of 3;0 of 0;6 of 6;11 of 24;4 of 20;24 of 35;11 of 18;7 of 10;4 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;September 28, 2001;Las Vegas, Nevada, USA;Lightweight Bout;Din Thomas
BJ Penn;Din Thomas;1;0;6 of 8;1 of 5;75%;20%;11 of 13;25 of 29;0 of 1;1 of 1;0%;100%;0;0;0;0;0:08;2:05;3 of 5;1 of 5;3 of 3;0 of 0;0 of 0;0 of 0;0 of 2;0 of 2;4 of 4;0 of 0;2 of 2;1 of 3;KO/TKO;1;2:42;3 Rnd (5-5-5);John McCarthy;June 29, 2001;East Rutherford, New Jersey, USA;Lightweight Bout;BJ Penn
Ricco Rodriguez;Andrei Arlovski;0;0;30 of 50;11 of 26;60%;42%;64 of 84;18 of 33;2 of 8;0 of 1;25%;0%;1;0;1;0;7:25;0:18;23 of 43;10 of 25;3 of 3;0 of 0;4 of 4;1 of 1;7 of 19;7 of 19;3 of 3;4 of 7;20 of 28;0 of 0;KO/TKO;3;1:23;3 Rnd (5-5-5);Mason White;June 29, 2001;East Rutherford, New Jersey, USA;Heavyweight Bout;Ricco Rodriguez
Tito Ortiz;Elvis Sinosic;0;0;35 of 59;3 of 8;59%;37%;58 of 82;12 of 18;1 of 1;0 of 0;100%;---;0;0;0;0;2:52;0:00;32 of 55;2 of 3;1 of 2;0 of 1;2 of 2;1 of 4;3 of 9;3 of 8;1 of 3;0 of 0;31 of 47;0 of 0;KO/TKO;1;3:32;5 Rnd (5-5-5-5-5);John McCarthy;June 29, 2001;East Rutherford, New Jersey, USA;UFC Light Heavyweight Title Bout;Tito Ortiz
Tony DeSouza;Paul Rodriguez;0;0;1 of 3;2 of 2;33%;100%;1 of 3;2 of 2;0 of 0;0 of 1;---;0%;2;0;0;0;0:32;0:00;1 of 3;0 of 0;0 of 0;0 of 0;0 of 0;2 of 2;1 of 3;2 of 2;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:05;3 Rnd (5-5-5);Mario Yamasaki;June 29, 2001;East Rutherford, New Jersey, USA;Lightweight Bout;Tony DeSouza
Caol Uno;Fabiano Iha;0;0;8 of 17;6 of 13;47%;46%;14 of 24;7 of 14;2 of 4;0 of 0;50%;---;0;1;0;0;0:54;0:00;7 of 16;4 of 11;0 of 0;0 of 0;1 of 1;2 of 2;2 of 6;5 of 10;0 of 1;1 of 3;6 of 10;0 of 0;KO/TKO;1;1:48;3 Rnd (5-5-5);Mario Yamasaki;June 29, 2001;East Rutherford, New Jersey, USA;Lightweight Bout;Caol Uno
Vladimir Matyushenko;Yuki Kondo;0;0;17 of 28;1 of 3;60%;33%;119 of 146;79 of 83;3 of 3;0 of 2;100%;0%;0;0;0;0;14:14;0:00;12 of 22;0 of 0;5 of 6;1 of 3;0 of 0;0 of 0;1 of 2;1 of 2;1 of 1;0 of 1;15 of 25;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 29, 2001;East Rutherford, New Jersey, USA;Light Heavyweight Bout;Vladimir Matyushenko
Josh Barnett;Semmy Schilt;0;0;10 of 17;1 of 1;58%;100%;21 of 28;4 of 6;1 of 1;0 of 0;100%;---;1;0;0;0;3:35;0:32;10 of 17;0 of 0;0 of 0;0 of 0;0 of 0;1 of 1;0 of 1;1 of 1;0 of 0;0 of 0;10 of 16;0 of 0;Submission;1;4:21;3 Rnd (5-5-5);John McCarthy;June 29, 2001;East Rutherford, New Jersey, USA;Heavyweight Bout;Josh Barnett
Pat Miletich;Shonie Carter;1;0;10 of 16;14 of 42;62%;33%;76 of 83;18 of 47;1 of 1;0 of 0;100%;---;0;0;0;0;3:59;0:00;7 of 13;1 of 26;1 of 1;6 of 8;2 of 2;7 of 8;6 of 10;10 of 37;4 of 6;4 of 5;0 of 0;0 of 0;KO/TKO;2;2:42;3 Rnd (5-5-5);Mario Yamasaki;June 29, 2001;East Rutherford, New Jersey, USA;Welterweight Bout;Pat Miletich
Matt Lindland;Ricardo Almeida;0;0;22 of 49;9 of 18;44%;50%;118 of 153;16 of 25;5 of 5;0 of 1;100%;0%;0;0;0;0;12:14;0:00;15 of 36;6 of 13;3 of 5;0 of 2;4 of 8;3 of 3;3 of 12;5 of 12;7 of 11;1 of 3;12 of 26;3 of 3;DQ;3;4:21;3 Rnd (5-5-5);Mario Yamasaki;May 04, 2001;Atlantic City, New Jersey, USA;Light Heavyweight Bout;Matt Lindland
Carlos Newton;Pat Miletich;0;0;14 of 52;28 of 76;26%;36%;53 of 96;50 of 100;4 of 6;0 of 0;66%;---;1;0;0;0;4:31;0:44;7 of 45;16 of 64;4 of 4;4 of 4;3 of 3;8 of 8;9 of 40;24 of 68;4 of 6;3 of 6;1 of 6;1 of 2;Submission;3;2:50;5 Rnd (5-5-5-5-5);John McCarthy;May 04, 2001;Atlantic City, New Jersey, USA;UFC Welterweight Title Bout;Carlos Newton
Semmy Schilt;Pete Williams;2;0;15 of 26;6 of 9;57%;66%;22 of 34;14 of 18;0 of 0;1 of 4;---;25%;0;0;0;0;0:22;4:47;5 of 14;6 of 8;8 of 9;0 of 0;2 of 3;0 of 1;11 of 20;1 of 3;2 of 4;0 of 0;2 of 2;5 of 6;KO/TKO;2;1:28;3 Rnd (5-5-5);John McCarthy;May 04, 2001;Atlantic City, New Jersey, USA;Heavyweight Bout;Semmy Schilt
BJ Penn;Joey Gilbert;0;0;22 of 32;3 of 7;68%;42%;76 of 86;11 of 15;2 of 2;0 of 1;100%;0%;0;0;0;0;4:30;0:06;18 of 28;0 of 4;4 of 4;2 of 2;0 of 0;1 of 1;3 of 8;1 of 5;3 of 3;2 of 2;16 of 21;0 of 0;KO/TKO;1;4:57;3 Rnd (5-5-5);John McCarthy;May 04, 2001;Atlantic City, New Jersey, USA;Lightweight Bout;BJ Penn
Tony DeSouza;Steve Berger;0;0;28 of 48;2 of 18;58%;11%;51 of 71;108 of 129;5 of 5;0 of 0;100%;---;0;3;0;1;9:59;1:07;27 of 47;2 of 18;1 of 1;0 of 0;0 of 0;0 of 0;1 of 6;2 of 17;2 of 3;0 of 1;25 of 39;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;May 04, 2001;Atlantic City, New Jersey, USA;Welterweight Bout;Tony DeSouza
Shonie Carter;Matt Serra;2;0;18 of 33;10 of 25;54%;40%;49 of 65;27 of 44;2 of 3;2 of 13;66%;15%;0;3;2;1;6:03;4:31;6 of 17;5 of 18;6 of 7;2 of 2;6 of 9;3 of 5;10 of 16;5 of 19;6 of 6;3 of 4;2 of 11;2 of 2;KO/TKO;3;4:51;3 Rnd (5-5-5);Mario Yamasaki;May 04, 2001;Atlantic City, New Jersey, USA;Welterweight Bout;Shonie Carter
Randy Couture;Pedro Rizzo;0;1;69 of 118;42 of 108;58%;38%;147 of 197;76 of 144;3 of 15;0 of 0;20%;---;0;0;0;0;7:58;4:16;51 of 96;27 of 90;3 of 4;3 of 3;15 of 18;12 of 15;28 of 57;29 of 85;20 of 26;7 of 14;21 of 35;6 of 9;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;May 04, 2001;Atlantic City, New Jersey, USA;UFC Heavyweight Title Bout;Randy Couture
Chuck Liddell;Kevin Randleman;1;0;3 of 5;0 of 0;60%;---;4 of 6;1 of 1;0 of 0;0 of 2;---;0%;0;0;0;0;0:02;0:40;2 of 4;0 of 0;1 of 1;0 of 0;0 of 0;0 of 0;2 of 4;0 of 0;1 of 1;0 of 0;0 of 0;0 of 0;KO/TKO;1;1:18;3 Rnd (5-5-5);John McCarthy;May 04, 2001;Atlantic City, New Jersey, USA;Light Heavyweight Bout;Chuck Liddell
Pedro Rizzo;Josh Barnett;1;0;31 of 86;39 of 101;36%;38%;35 of 90;41 of 103;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;18 of 67;17 of 74;3 of 3;6 of 9;10 of 16;16 of 18;23 of 71;29 of 78;8 of 15;10 of 23;0 of 0;0 of 0;KO/TKO;2;4:21;3 Rnd (5-5-5);Mario Yamasaki;February 23, 2001;Atlantic City, New Jersey, USA;Heavyweight Bout;Pedro Rizzo
Tito Ortiz;Evan Tanner;0;0;7 of 7;0 of 1;100%;0%;7 of 7;0 of 1;1 of 1;0 of 0;100%;---;0;0;0;0;0:01;0:01;4 of 4;0 of 0;2 of 2;0 of 1;1 of 1;0 of 0;1 of 1;0 of 1;4 of 4;0 of 0;2 of 2;0 of 0;KO/TKO;1;0:32;5 Rnd (5-5-5-5-5);John McCarthy;February 23, 2001;Atlantic City, New Jersey, USA;UFC Light Heavyweight Title Bout;Tito Ortiz
Jens Pulver;Caol Uno;0;0;50 of 131;50 of 101;38%;49%;103 of 185;56 of 107;0 of 0;3 of 25;---;12%;0;0;0;0;3:40;1:54;38 of 118;29 of 70;6 of 7;4 of 5;6 of 6;17 of 26;31 of 96;41 of 89;18 of 30;7 of 10;1 of 5;2 of 2;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;February 23, 2001;Atlantic City, New Jersey, USA;UFC Lightweight Title Bout;Jens Pulver
Phil Baroni;Curtis Stout;0;0;39 of 54;2 of 3;72%;66%;210 of 230;41 of 42;2 of 2;0 of 0;100%;---;0;0;0;0;9:44;0:00;13 of 28;0 of 0;26 of 26;0 of 0;0 of 0;2 of 3;1 of 2;2 of 3;0 of 0;0 of 0;38 of 52;0 of 0;Decision - Unanimous;2;5:00;2 Rnd (5-5);Mason White;February 23, 2001;Atlantic City, New Jersey, USA;Middleweight Bout;Phil Baroni
Fabiano Iha;Phil Johns;0;0;3 of 6;2 of 3;50%;66%;3 of 6;6 of 7;1 of 2;0 of 1;50%;0%;1;0;0;0;0:51;0:16;0 of 3;0 of 0;2 of 2;1 of 1;1 of 1;1 of 2;2 of 5;1 of 2;1 of 1;1 of 1;0 of 0;0 of 0;Submission;1;1:40;3 Rnd (5-5-5);Mario Yamasaki;February 23, 2001;Atlantic City, New Jersey, USA;Welterweight Bout;Fabiano Iha
Bobby Hoffman;Mark Robinson;1;0;20 of 23;0 of 1;86%;0%;64 of 67;1 of 2;0 of 0;0 of 0;---;---;0;0;0;0;0:01;3:05;4 of 6;0 of 1;16 of 17;0 of 0;0 of 0;0 of 0;0 of 1;0 of 0;20 of 22;0 of 1;0 of 0;0 of 0;Overturned;1;3:27;2 Rnd (5-5);John McCarthy;February 23, 2001;Atlantic City, New Jersey, USA;Heavyweight Bout;
Sean Sherk;Tiki Ghosn;0;0;12 of 16;1 of 7;75%;14%;134 of 146;10 of 16;4 of 5;0 of 0;80%;---;0;0;0;0;9:15;0:00;11 of 15;0 of 5;0 of 0;0 of 0;1 of 1;1 of 2;1 of 3;1 of 6;1 of 1;0 of 1;10 of 12;0 of 0;Submission;2;4:47;2 Rnd (5-5);Mason White;February 23, 2001;Atlantic City, New Jersey, USA;Welterweight Bout;Sean Sherk
Elvis Sinosic;Jeremy Horn;0;0;2 of 5;4 of 10;40%;40%;21 of 24;28 of 37;0 of 0;0 of 0;---;---;2;0;0;0;0:00;2:30;0 of 3;3 of 8;1 of 1;1 of 2;1 of 1;0 of 0;2 of 5;2 of 8;0 of 0;0 of 0;0 of 0;2 of 2;Submission;1;2:52;3 Rnd (5-5-5);Mario Yamasaki;February 23, 2001;Atlantic City, New Jersey, USA;Middleweight Bout;Elvis Sinosic
Tito Ortiz;Yuki Kondo;0;1;16 of 22;2 of 4;72%;50%;31 of 40;2 of 4;2 of 2;0 of 0;100%;---;2;0;0;0;1:35;0:01;16 of 22;1 of 2;0 of 0;1 of 2;0 of 0;0 of 0;0 of 1;2 of 4;0 of 0;0 of 0;16 of 21;0 of 0;Submission;1;1:52;5 Rnd (5-5-5-5-5);John McCarthy;December 16, 2000;Tokyo, Japan;UFC Light Heavyweight Title Bout;Tito Ortiz
Chuck Liddell;Jeff Monson;0;0;42 of 77;6 of 20;54%;30%;45 of 80;18 of 32;0 of 0;1 of 17;---;5%;0;0;0;0;1:39;1:03;18 of 48;5 of 19;5 of 5;1 of 1;19 of 24;0 of 0;31 of 62;4 of 16;5 of 9;2 of 4;6 of 6;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;December 16, 2000;Tokyo, Japan;Middleweight Bout;Chuck Liddell
Dennis Hallman;Matt Hughes;0;0;0 of 0;1 of 1;---;100%;0 of 0;1 of 1;0 of 0;1 of 1;---;100%;1;0;0;0;0:00;0:11;0 of 0;0 of 0;0 of 0;1 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;1 of 1;Submission;1;0:20;3 Rnd (5-5-5);Mario Yamasaki;December 16, 2000;Tokyo, Japan;Welterweight Bout;Dennis Hallman
Evan Tanner;Lance Gibson;0;0;32 of 40;6 of 8;80%;75%;47 of 55;18 of 21;1 of 1;0 of 0;100%;---;0;0;0;0;4:11;0:00;19 of 26;6 of 8;11 of 12;0 of 0;2 of 2;0 of 0;2 of 2;1 of 1;5 of 7;4 of 5;25 of 31;1 of 2;KO/TKO;1;4:58;3 Rnd (5-5-5);Mario Yamasaki;December 16, 2000;Tokyo, Japan;Middleweight Bout;Evan Tanner
Pat Miletich;Kenichi Yamamoto;0;0;16 of 28;3 of 7;57%;42%;31 of 43;3 of 7;3 of 3;0 of 4;100%;0%;2;0;0;0;4:24;0:01;15 of 25;0 of 3;0 of 0;2 of 2;1 of 3;1 of 2;5 of 15;2 of 6;1 of 1;1 of 1;10 of 12;0 of 0;Submission;2;1:58;5 Rnd (5-5-5-5-5);John McCarthy;December 16, 2000;Tokyo, Japan;UFC Welterweight Title Bout;Pat Miletich
Fabiano Iha;Daiju Takase;0;0;8 of 12;0 of 2;66%;0%;16 of 20;1 of 3;1 of 1;0 of 0;100%;---;0;0;0;0;1:56;0:00;8 of 12;0 of 2;0 of 0;0 of 0;0 of 0;0 of 0;0 of 0;0 of 2;0 of 0;0 of 0;8 of 12;0 of 0;KO/TKO;1;2:24;3 Rnd (5-5-5);John McCarthy;December 16, 2000;Tokyo, Japan;Welterweight Bout;Fabiano Iha
Matt Lindland;Yoji Anjo;0;0;17 of 26;0 of 1;65%;0%;39 of 52;0 of 1;0 of 0;0 of 1;---;0%;0;0;0;0;2:06;0:12;17 of 26;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 2;0 of 1;1 of 1;0 of 0;16 of 23;0 of 0;KO/TKO;1;2:58;3 Rnd (5-5-5);John McCarthy;December 16, 2000;Tokyo, Japan;Middleweight Bout;Matt Lindland
Josh Barnett;Gan McGee;0;0;17 of 24;10 of 21;70%;47%;44 of 55;24 of 35;1 of 1;2 of 5;100%;40%;1;0;0;0;1:18;7:22;10 of 17;9 of 20;5 of 5;0 of 0;2 of 2;1 of 1;1 of 4;1 of 2;6 of 7;2 of 2;10 of 13;7 of 17;KO/TKO;2;4:34;3 Rnd (5-5-5);John McCarthy;November 17, 2000;Atlantic City, New Jersey, USA;Super Heavyweight Bout;Josh Barnett
Randy Couture;Kevin Randleman;0;0;28 of 41;15 of 19;68%;78%;71 of 85;47 of 51;1 of 1;2 of 2;100%;100%;1;1;0;0;2:57;8:51;17 of 29;8 of 12;8 of 9;6 of 6;3 of 3;1 of 1;0 of 5;3 of 7;14 of 16;6 of 6;14 of 20;6 of 6;KO/TKO;3;4:13;5 Rnd (5-5-5-5-5);John McCarthy;November 17, 2000;Atlantic City, New Jersey, USA;UFC Heavyweight Title Bout;Randy Couture
Ben Earwood;Chris Lytle;0;0;5 of 9;2 of 3;55%;66%;64 of 71;29 of 31;2 of 2;0 of 0;100%;---;0;1;0;0;9:47;0:00;5 of 9;0 of 1;0 of 0;2 of 2;0 of 0;0 of 0;1 of 1;2 of 3;0 of 0;0 of 0;4 of 8;0 of 0;Decision - Unanimous;2;5:00;2 Rnd (5-5);Mario Yamasaki;November 17, 2000;Atlantic City, New Jersey, USA;Welterweight Bout;Ben Earwood
Jens Pulver;John Lewis;1;0;1 of 3;0 of 1;33%;0%;1 of 3;0 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;1 of 3;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;1 of 3;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:15;3 Rnd (5-5-5);Mario Yamasaki;November 17, 2000;Atlantic City, New Jersey, USA;Lightweight Bout;Jens Pulver
Renato Sobral;Maurice Smith;0;0;7 of 17;5 of 12;41%;41%;68 of 89;60 of 67;4 of 5;0 of 0;80%;---;2;0;0;0;11:48;0:00;4 of 13;0 of 7;1 of 1;1 of 1;2 of 3;4 of 4;4 of 12;5 of 12;0 of 0;0 of 0;3 of 5;0 of 0;Decision - Majority;3;5:00;3 Rnd (5-5-5);John McCarthy;November 17, 2000;Atlantic City, New Jersey, USA;Heavyweight Bout;Renato Sobral
Mark Hughes;Alex Stiebling;0;0;9 of 19;4 of 7;47%;57%;68 of 78;38 of 42;2 of 4;0 of 0;50%;---;3;1;0;0;9:24;0:00;7 of 17;3 of 5;2 of 2;1 of 2;0 of 0;0 of 0;0 of 1;0 of 2;1 of 1;1 of 2;8 of 17;3 of 3;Decision - Unanimous;2;5:00;2 Rnd (5-5);Mario Yamasaki;November 17, 2000;Atlantic City, New Jersey, USA;Middleweight Bout;Mark Hughes
Andrei Arlovski;Aaron Brink;0;0;2 of 4;0 of 5;50%;0%;2 of 4;0 of 5;1 of 1;0 of 1;100%;0%;2;0;0;0;0:13;0:04;1 of 3;0 of 5;0 of 0;0 of 0;1 of 1;0 of 0;2 of 2;0 of 3;0 of 2;0 of 2;0 of 0;0 of 0;Submission;1;0:55;3 Rnd (5-5-5);John McCarthy;November 17, 2000;Atlantic City, New Jersey, USA;Heavyweight Bout;Andrei Arlovski
Jeremy Horn;Eugene Jackson;0;0;2 of 6;2 of 9;33%;22%;23 of 29;11 of 18;1 of 2;0 of 0;50%;---;1;0;0;0;3:35;0:00;0 of 1;1 of 7;2 of 2;1 of 2;0 of 3;0 of 0;0 of 3;0 of 7;0 of 0;1 of 1;2 of 3;1 of 1;Submission;1;4:32;3 Rnd (5-5-5);Mario Yamasaki;September 22, 2000;New Orleans, Louisiana, USA;Middleweight Bout;Jeremy Horn
Yuki Kondo;Alexandre Dantas;1;0;33 of 54;14 of 43;61%;32%;61 of 85;24 of 55;0 of 0;2 of 8;---;25%;0;0;2;1;4:18;6:27;28 of 46;14 of 42;5 of 8;0 of 1;0 of 0;0 of 0;9 of 17;1 of 5;5 of 6;0 of 0;19 of 31;13 of 38;KO/TKO;3;2:28;3 Rnd (5-5-5);John McCarthy;September 22, 2000;New Orleans, Louisiana, USA;Middleweight Bout;Yuki Kondo
Maurice Smith;Bobby Hoffman;0;0;43 of 55;10 of 44;78%;22%;86 of 98;24 of 68;0 of 0;4 of 4;---;100%;0;0;0;0;5:26;8:12;19 of 30;8 of 41;21 of 21;2 of 3;3 of 4;0 of 0;3 of 4;0 of 13;40 of 51;4 of 12;0 of 0;6 of 19;Decision - Split;3;5:00;3 Rnd (5-5-5);John McCarthy;September 22, 2000;New Orleans, Louisiana, USA;Heavyweight Bout;Maurice Smith
Pedro Rizzo;Dan Severn;1;0;2 of 7;0 of 3;28%;0%;2 of 7;1 of 4;0 of 0;0 of 1;---;0%;0;0;0;0;0:11;0:00;0 of 5;0 of 3;0 of 0;0 of 0;2 of 2;0 of 0;2 of 6;0 of 3;0 of 0;0 of 0;0 of 1;0 of 0;KO/TKO;1;1:33;3 Rnd (5-5-5);John McCarthy;September 22, 2000;New Orleans, Louisiana, USA;Heavyweight Bout;Pedro Rizzo
Jeff Monson;Tim Lajcik;0;0;31 of 62;5 of 14;50%;35%;122 of 160;40 of 54;1 of 4;0 of 1;25%;0%;0;0;0;0;7:03;1:37;20 of 49;5 of 14;10 of 12;0 of 0;1 of 1;0 of 0;0 of 3;1 of 6;3 of 6;0 of 1;28 of 53;4 of 7;Decision - Unanimous;2;5:00;2 Rnd (5-5);Mario Yamasaki;September 22, 2000;New Orleans, Louisiana, USA;Heavyweight Bout;Jeff Monson
Brad Gumm;CJ Fernandes;0;0;18 of 33;28 of 55;54%;50%;88 of 106;63 of 94;0 of 2;1 of 1;0%;100%;0;0;1;0;0:23;8:29;13 of 23;9 of 33;5 of 9;15 of 16;0 of 1;4 of 6;1 of 8;2 of 5;13 of 21;21 of 31;4 of 4;5 of 19;Decision - Unanimous;2;5:00;2 Rnd (5-5);Mario Yamasaki;September 22, 2000;New Orleans, Louisiana, USA;Welterweight Bout;
Fabiano Iha;Laverne Clark;0;0;1 of 3;1 of 2;33%;50%;1 of 3;1 of 2;1 of 1;0 of 0;100%;---;2;0;0;0;0:07;0:24;0 of 0;1 of 2;0 of 1;0 of 0;1 of 2;0 of 0;1 of 3;1 of 2;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:10;3 Rnd (5-5-5);Mario Yamasaki;September 22, 2000;New Orleans, Louisiana, USA;Welterweight Bout;Fabiano Iha
Ian Freeman;Tedd Williams;0;0;30 of 61;25 of 29;49%;86%;55 of 86;46 of 50;0 of 0;1 of 10;---;10%;0;0;0;0;5:56;7:16;29 of 60;9 of 12;1 of 1;16 of 17;0 of 0;0 of 0;1 of 8;2 of 3;4 of 5;1 of 1;25 of 48;22 of 25;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;September 22, 2000;New Orleans, Louisiana, USA;Heavyweight Bout;Ian Freeman
Matt Hughes;Marcelo Aguiar;0;0;18 of 31;2 of 2;58%;100%;29 of 42;21 of 21;2 of 3;0 of 0;66%;---;0;0;0;0;4:08;0:00;14 of 27;2 of 2;4 of 4;0 of 0;0 of 0;0 of 0;0 of 2;0 of 0;0 of 0;0 of 0;18 of 29;2 of 2;TKO - Doctor's Stoppage;1;4:34;3 Rnd (5-5-5);Mario Yamasaki;June 09, 2000;Cedar Rapids, Iowa, USA;Welterweight Bout;Matt Hughes
Shonie Carter;Adrian Serrano;0;0;26 of 55;6 of 23;47%;26%;51 of 85;55 of 79;3 of 6;0 of 2;50%;0%;0;0;0;1;2:00;3:07;15 of 41;2 of 16;5 of 7;4 of 7;6 of 7;0 of 0;21 of 44;3 of 15;3 of 5;3 of 8;2 of 6;0 of 0;Decision - Unanimous;2;5:00;2 Rnd (5-5);John McCarthy;June 09, 2000;Cedar Rapids, Iowa, USA;Welterweight Bout;Shonie Carter
Pat Miletich;John Alessio;0;0;9 of 18;1 of 2;50%;50%;44 of 53;9 of 10;2 of 2;0 of 0;100%;---;1;2;0;0;5:03;0:00;9 of 17;0 of 1;0 of 1;1 of 1;0 of 0;0 of 0;4 of 12;0 of 1;1 of 1;1 of 1;4 of 5;0 of 0;Submission;2;1:43;3 Rnd (5-5-5);John McCarthy;June 09, 2000;Cedar Rapids, Iowa, USA;UFC Welterweight Title Bout;Pat Miletich
